Image_Count_DetectedNuclei,Image_FileName_CellBody,Image_FileName_Nuclei,Image_ImageQuality_Correlation_CellBody_10,Image_ImageQuality_Correlation_CellBody_2,Image_ImageQuality_Correlation_CellBody_20,Image_ImageQuality_Correlation_CellBody_40,Image_ImageQuality_Correlation_CellBody_5,Image_ImageQuality_Correlation_CellBody_80,Image_ImageQuality_Correlation_Nuclei_10,Image_ImageQuality_Correlation_Nuclei_2,Image_ImageQuality_Correlation_Nuclei_20,Image_ImageQuality_Correlation_Nuclei_40,Image_ImageQuality_Correlation_Nuclei_5,Image_ImageQuality_Correlation_Nuclei_80,Image_ImageQuality_FocusScore_CellBody,Image_ImageQuality_FocusScore_Nuclei,Image_ImageQuality_PowerLogLogSlope_CellBody,Image_ImageQuality_PowerLogLogSlope_Nuclei,Image_Math_ImageQuality_SNR_CellBody,Image_Math_ImageQuality_SNR_Nuclei,Image_Metadata_ActualCellCount,Image_Metadata_BlurFilterSize
1,"SIMCEPImages_A01_C1_F1_s15_w1.TIF","SIMCEPImages_A01_C1_F1_s15_w2.TIF",0.687568,0.97776,0.264844,-0.00186868,0.89471,0,0.842718,0.987994,0.640365,0.307059,0.946314,0,0.00266963,0.390058,-2.33792,-2.80594,0.191445,0.150586,"1","1"
1,"SIMCEPImages_A01_C1_F1_s22_w1.TIF","SIMCEPImages_A01_C1_F1_s22_w2.TIF",0.678744,0.977883,0.253233,-0.00260919,0.893912,-0.00277909,0.824547,0.986089,0.608072,0.228608,0.938583,-0.00865859,0.00351851,0.262741,-2.40282,-2.66806,0.171514,0.160062,"1","1"
1,"SIMCEPImages_A01_C1_F1_s05_w1.TIF","SIMCEPImages_A01_C1_F1_s05_w2.TIF",0.642637,0.974177,0.188084,-0.00239062,0.88223,-0.00254625,0.828086,0.985999,0.621761,0.256392,0.937811,-0.00953331,0.00209791,0.292192,-2.31109,-2.58597,0.211884,0.157451,"1","1"
1,"SIMCEPImages_A01_C1_F1_s12_w1.TIF","SIMCEPImages_A01_C1_F1_s12_w2.TIF",0.699574,0.975879,0.396825,-0.00168481,0.88735,-0.00179441,0.861113,0.988853,0.688722,0.396331,0.951048,-0.00631279,0.00108996,0.2258,-1.68789,-2.35951,0.277966,0.158585,"1","1"
1,"SIMCEPImages_A01_C1_F1_s11_w1.TIF","SIMCEPImages_A01_C1_F1_s11_w2.TIF",0.643746,0.972247,0.247444,-0.00258211,0.87263,-0.00275024,0.848697,0.987983,0.650425,0.263607,0.946533,-0.0114457,0.00177658,0.404886,-2.11184,-2.78754,0.228348,0.151105,"1","1"
1,"SIMCEPImages_A01_C1_F1_s18_w1.TIF","SIMCEPImages_A01_C1_F1_s18_w2.TIF",0.685985,0.977819,0.26171,-0.0027125,0.896037,-0.00288915,0.855621,0.988613,0.66423,0.320334,0.950335,-0.0108626,0.00316376,0.387589,-2.42085,-2.8135,0.179826,0.15052,"1","1"
1,"SIMCEPImages_A01_C1_F1_s02_w1.TIF","SIMCEPImages_A01_C1_F1_s02_w2.TIF",0.656371,0.976373,0.224601,-0.00240295,0.885691,-0.00255939,0.828049,0.98724,0.600143,0.208807,0.941572,-0.0110396,0.00261641,0.400669,-2.28016,-2.83003,0.193177,0.149852,"1","1"
1,"SIMCEPImages_A01_C1_F1_s09_w1.TIF","SIMCEPImages_A01_C1_F1_s09_w2.TIF",0.670605,0.976951,0.234616,-0.00266799,0.891144,-0.00284172,0.861112,0.989537,0.662609,0.290562,0.952849,-0.0122272,0.00290302,0.395476,-2.40759,-2.80008,0.185953,0.154333,"1","1"
1,"SIMCEPImages_A01_C1_F1_s04_w1.TIF","SIMCEPImages_A01_C1_F1_s04_w2.TIF",0.66475,0.975543,0.246317,-0.000819556,0.888037,0,0.898073,0.990307,0.781628,0.493019,0.961379,0,0.0023139,0.386756,-2.32499,-2.58288,0.203898,0.148507,"1","1"
1,"SIMCEPImages_A01_C1_F1_s14_w1.TIF","SIMCEPImages_A01_C1_F1_s14_w2.TIF",0.679161,0.976742,0.263216,-0.00197297,0.891404,0,0.87145,0.98844,0.747151,0.532293,0.952065,0.0524308,0.00324689,0.314151,-2.38734,-2.61224,0.178022,0.165294,"1","1"
